word,translate
able,capaz
about,sobre
absolutely,absolutamente
accident,acidente
act,agir
actually,na verdade
admit,Admitem
afraid,com medo
after,depois
again,de novo
against,contra
ago,atrás
agree,concordar
ah,Ah
ahead,à frente
ain't,não
air,ar
Al,Al
Alexis,Alexis
Alison,Alison
alive,vivo
all,todos
almost,quase
alone,sozinho
along,junto
already,já
alright,tudo bem
also,também
always,sempre
am,sou
amazing,incrível
an,um
and,e
Angel or angel,Anjo ou anjo
angry,nervoso
another,outro
answer,responder
Antonio,Antonio
any,qualquer
anybody,qualquer pessoa
anymore,não mais
anyone,qualquer um
anything,qualquer coisa
anyway,de qualquer forma
anywhere,em qualquer lugar
apart,separado
apartment,apartamento
appreciate,apreciar
are,são
aren't,não são
around,em volta
as,como
ask,perguntar
asked,perguntado
asking,Perguntando
ass,bunda
at,no
attention,atenção
aunt,tia
away,ausente
baby,bebê
back,voltar
bad,ruim
bar,bar
be,ser
beat,bater
beautiful,lindo
because,porque
become,tornar-se
bed,cama
been,estive
before,antes
behind,atrás
being,ser
believe,acreditar
Ben,Ben
besides,além do mais
best,melhor
bet,aposta
Beth,Beth
better,melhorar
between,entre
big,grande
bill,conta
Billy or billy,Billy ou Billy
birthday,aniversário
bit,pedaço
bitch,cadela
black or Black,preto ou preto
blame,culpa
blood,sangue
Bo,Bo
body,corpo
book,livro
both,ambos
box,caixa
boy,garoto
boyfriend,namorado
boys,Rapazes
break,quebrar
bring,trazer
broke,quebrado
Brooke,Brooke
brother,irmão
brought,trouxe
buddy,companheiro
building,prédio
business,negócios
busy,ocupado
but,mas
buy,comprar
by,por
bye,tchau
call,chamar
called,chamado
calling,chamando
calls,chamadas
calm,calma
came,veio
can,pode
can't,não pode
cannot,não pode
car,carro
care,Cuidado
careful,cuidadoso
Carly,Carly
case,caso
catch,pegar
caught,capturado
cause,causa
certain,certo
certainly,certamente
chance,chance
change,mudar
changed,mudado
charity,caridade
check,verificar
child,criança
children,crianças
choice,escolha
Chris,Chris
Christmas,Natal
city,cidade
class,aula
clean,limpar
clear,claro
close,fechar
clothes,roupas
club,clube
coffee,café
cold,frio
college,faculdade
come,vir
comes,vem
coming,chegando
company,empresa
completely,completamente
concerned,preocupado
control,ao controle
cool,legal
could,poderia
couldn't,não poderia
count,contar
country,país
couple,casal
course,curso
court,tribunal
cover,cobrir
Craig,Craig
Crane or crane,Guindaste ou guindaste
crazy,louco
Cristian,Cristian
cut,corte
cute,bonitinho
dad,pai
daddy,papai
damn,droga
dance,dança
Danny,Danny
dark,escuro
darling,querido
date,data
daughter,filha
David,David
Dawson,Dawson
day,dia
days,dias
dead,morto
deal,negócio
dear,querido
death,morte
decided,decidido
decision,decisão
definitely,definitivamente
deserve,merecer
did,fez
didn't,não
die,morrer
died,morreu
different,diferente
dinner,jantar
do,fazer
doctor,doutor
does,faz
doesn't,não
dog,cachorro
doing,fazendo
dollars,dólares
don't,não
done,feito
door,porta
down,abaixo
dream,sonhar
dress,vestir
drink,bebida
drive,dirigir
drop,derrubar
dude,cara
each,cada
early,cedo
earth,terra
easy,fácil
eat,comer
eight,oito
either,qualquer
else,outro
em,Em
Emily,Emily
end,fim
enjoy,aproveitar
enough,suficiente
entire,inteiro
especially,especialmente
Ethan,Ethan
Eve or eve,Eva ou Eva
even,até
evening,noite
ever,sempre
every,todo
everybody,todo mundo
everyone,todos
everything,tudo
everything 's,tudo
evidence,evidência
evil,mal
exactly,exatamente
except,exceto
excuse,desculpa
expect,esperar
explain,explicar
eye,olho
eyes,olhos
face,face
fact,facto
fair,justo
fall,cair
family,família
far,distante
fast,rápido
father,pai
fault,falta
favor,Favor
feel,sentir
feeling,sentimento
feelings,sentimentos
feels,sentimentos
feet,pés
fell,caiu
felt,sentido
few,alguns
fight,lutar
figure,figura
figured,figurado
finally,finalmente
find,encontrar
fine,multar
finish,terminar
finished,finalizado
fire,fogo
first,primeiro
five,cinco
fix,consertar
floor,chão
follow,seguir
food,comida
for,para
forever,para sempre
forget,esquecer
forgive,perdoar
forgot,esquecido
found,encontrado
four,quatro
Frank,Frank
Frasier,Frasier
free,livre
friend,amigo
friends,amigos
from,de
front,frente
fuck,Porra
fucking,Porra
full,completo
fun,diversão
funny,engraçado
future,futuro
game,jogo
gave,deu
George,George
get,pegar
gets,recebe
getting,recebendo
gift,presente
girl,garota
girlfriend,namorada
girls,garotas
give,dar
given,dado
giving,dando
glad,alegre
go,ir
god,Deus
goes,vai
going,indo
gone,perdido
gonna,vai
good,bom
got,pegou
gotta,preciso
gotten,pego
Grace or grace,Graça ou graça
great,ótimo
Greenlee,Greenlee
guess,adivinhar
gun,pistola
guy,cara
guys,pessoal
ha,ha
had,tive
hadn't,não tinha
hair,cabelo
half,metade
hand,mão
handle,lidar
hands,mãos
hang,pendurar
happen,acontecer
happened,ocorrido
happening,acontecendo
happens,acontece
happy,feliz
hard,duro
has,tem
hasn't,não tem
hate,odiar
have,ter
haven't,não
having,tendo
he,ele
he'd,ele
he'll,inferno
he's,ele é
head,cabeça
hear,ouvir
heard,ouviu
heart,coração
hell,inferno
hello,olá
help,ajuda
helping,ajudando
her,dela
here,aqui
here's,Aqui está
herself,ela mesma
hey,ei
hi,oi
high,alto
him,ele
himself,ele mesmo
his,dele
history,história
hit,bater
hmm,hum
hold,segurar
holding,contenção
home,lar
honest,honesto
honey,mel
honor,honra
hope,ter esperança
hoping,na esperança
hospital,hospital
hot,quente
hotel,hotel
hour,hora
hours,horas
house or House,casa ou casa
how,como
how's,como
huh,huh
human,humano
hundred,centenas
hurry,pressa
hurt,ferir
husband,marido
I'd,Eu ia
I'll,Doente
I'm,Eu sou
I've,Eu tenho
ice,gelo
idea,ideia
if,se
imagine,Imagine
important,importante
in,em
information,Informação
inside,dentro
instead,em vez de
interested,interessado
interesting,interessante
into,em
involved,envolvido
is,é
isn't,não é
it,isto
it'll,vai
it's,isso é
its,isso é
Jack or jack,Jack ou Jack
jail,cadeia
Jake,Jake
James,James
Jason,Jason
Jax,Jax
Jen,Jen
Jerry,Jerry
Jessica,Jessica
Jesus,Jesus
job,trabalho
Joey,Joey
John or john,John ou John
judge,juiz
Julian,Julian
just,apenas
Kay,Kay
keep,manter
keeping,guardando
kept,mantido
kid,criança
kidding,brincando
kids,crianças
kill,matar
killed,morto
kind,tipo
kinda,tipo
kiss,beijo
knew,sabia
know,saber
known,conhecido
knows,sabe
ladies,senhoras
lady,senhora
last,durar
late,tarde
later,mais tarde
law,lei
lawyer,advogado
learn,aprender
least,ao menos
leave,deixar
leaving,saindo
left,esquerda
Leo,Leo
less,menos
let,deixar
let's,Vamos
lie,mentira
life,vida
light,luz
like,como
Lindsay,Lindsay
line,linha
list,lista
listen,ouvir
little,pequeno
live,ao vivo
lives,vidas
living,vivendo
long,longo
longer,mais longo
look,olhar
looked,visto
looking,olhando
looks,visual
lose,perder
lost,perdido
lot,muito
love,amor
loved,amado
loves,O amor é
luck,sorte
lucky,sortudo
Lucy,Lucy
Luis,Luis
Luke,Lucas
lunch,almoço
lying,mentindo
mad,louco
made,feito
make,fazer
makes,faz
making,fazendo
man,homem
many,muitos
marriage,casado
married,casado
marry,casar
matter,matéria
may or May,poder ou poder
maybe,talvez
me,meu
mean,significar
means,significa
meant,significou
meet,encontrar
meeting,reunião
men,homens
mention,menção
mess,bagunça
message,mensagem
met,conheceu
Michael,Michael
middle,meio
might,poder
Miguel,Miguel
million,milhão
mind,mente
mine,meu
minute,minuto
minutes,minutos
miss,perder
missed,perdido
missing,ausente
mistake,erro
mm,milímetros
mmm,mmm
mom,mãe
moment,momento
mommy,Mamãe
money,dinheiro
months,meses
more,mais
morning,manhã
most,maioria
mother,mãe
mouth,boca
move,mover
movie,filme
moving,movendo
much,muito
murder,assassinato
music,música
must,deve
my,meu
myself,eu mesmo
name,nome
Natalie,Natalie
nbsp,nbsp
near,aproximar
need,precisar
needed,necessário
needs,precisa
neither,nenhum
never,nunca
new,novo
news,notícias
next,próximo
nice,legal
Nick or nick,Nick ou Nick
night,noite
Niles,Niles
no,não
nobody,ninguém
none,nenhum
Nora,Nora
normal,normal
not,não
nothing,nada
now,agora
number,número
obviously,obviamente
of,de
off,desligado
offer,oferecer
office,escritório
oh,oh
ok,OK
okay,OK
old,velho
on,sobre
once,uma vez
one,um
ones,uns
only,apenas
ooh,ooh
open,abrir
or,ou
or,ou
order,ordem
other,outro
our,nosso
out,fora
outside,fora
over,sobre
ow,ow
owe,dever
own,ter
pain,dor
paper,papel
parents,pais
part,papel
party,festa
pass,passar
past,passado
Paul,Paulo
pay,pagar
people,pessoas
perfect,perfeito
perhaps,talvez
person,pessoa
personal,pessoal
Phoebe,Febe
phone,telefone
pick,escolha
picture,foto
piece,pedaço
place,lugar
plan,plano
plans,planos
play,jogar
playing,jogando
please,por favor
point,apontar
police,polícia
poor,pobre
possible,possível
possibly,possivelmente
power,poder
pregnant,grávida
present,presente
president,Presidente
pretty,bonito
prison,prisão
private,privado
probably,provavelmente
problem,problema
problems,problemas
promise,promessa
protect,proteger
proud,orgulhoso
prove,provar
pull,puxar
put,colocar
putting,colocando
question,pergunta
questions,questões
quiet,quieto
quite,bastante
ran,corrido
rather,em vez de
Ray or ray,Ray ou Ray
read,ler
ready,preparar
real,real
realize,entender
really,realmente
reason,razão
red,vermelho
relationship,relação
relax,relaxar
remember,lembrar
respect,respeito
rest,descansar
Richard,Richard
Rick,Rick
ride,andar de
ridge,cume
right,certo
ring,anel
road,estrada
room,sala
Rose or rose,Rosa ou rosa
Ross,Ross
run,correr
running,correndo
Ryan,Ryan
S,S
safe,seguro
said,disse
sake,interesse
same,mesmo
save,salvar
saw,serra
say,dizer
saying,ditado
says,diz
scared,assustado
school,escola
second,segundo
secret,segredo
see,ver
seeing,vendo
seem,parecer
seems,parece
seen,visto
self,auto
send,enviar
sense,senso
sent,enviado
serious,sério
set,definir
seven,Sete
sex,sexo
shall,podemos
share,compartilhar
Shawn,Shawn
she,ela
she'll,concha
she's,ela é
Sheridan,Sheridan
shit,merda
shoot,atirar
short,curto
shot,tomada
should,deve
shouldn't,não deveria
show,mostrar
shut,fechar
sick,doente
side,lado
sign,sinal
simple,simples
since,desde
sir,senhor
sister,irmã
sit,sentar
sitting,sentado
situation,situação
six,seis
sleep,dormir
small,pequeno
smart,inteligente
so,então
some,alguns
somebody,alguém
someone,alguém
something,algo
sometimes,às vezes
somewhere,em algum lugar
son,filho
sonny or Sonny,Sonny ou Sonny
soon,breve
sorry,desculpe
sort,organizar
sound,som
sounds,sons
speak,falar
special,especial
spend,gastar
spent,gasto
stand,ficar
standing,de pé
start,começar
started,iniciado
starting,iniciando
state,estado
stay,ficar
staying,ficando
step,etapa
stick,grudar
still,ainda
stop,parar
stopped,parou
story,história
straight,direto
street,rua
strong,forte
stuff,coisa
stupid,estúpido
such,tal
suppose,suponha
supposed,suposto
sure,claro
surprise,surpresa
surprised,surpreso
swear,jurar
sweet,doce
sweetheart,querido
sweetie,docinho
table,mesa
take,pegar
taken,levado
takes,leva
taking,tirando
talk,falar
talked,falou
talking,conversando
tape,fita
team,equipe
tell,dizer
telling,dizendo
ten,dez
terrible,Terrível
test,teste
than,que
thank,agradecer
thanks,obrigado
that,que
that's,isso é
the,o
their,deles
them,eles
then,então
there,lá
there's,há
Theresa,Há um
these,esses
they,eles
they'll,Eles vão
they're,eles estão
they've,eles têm
thing,coisa
things,coisas
think,pensar
thinking,pensamento
thinks,acha
this,esse
those,aqueles
though,no entanto
thought,pensamento
thousand,mil
three,três
through,através
throw,lançar
till,até
time,tempo
times,vezes
Timmy,Timmy
tired,cansado
to,para
today,hoje
Todd,Todd
together,junto
told,contado
tomorrow,amanhã
tonight,essa noite
Tony or tony,Tony ou Tony
too,também
took,pegou
top,principal
totally,totalmente
touch,tocar
tough,difícil
town,cidade
tried,testado
trip,viagem
trouble,dificuldade
trust,confiar
truth,verdade
try,tentar
trying,tentando
turn,vez
turned,virado
twenty,vinte
two,dois
uh,uh
um,hum
under,sob
understand,entender
unless,a menos que
until,até
up,acima
upset,chateado
upstairs,lá em cima
us,nós
use,usar
used,usado
using,usando
very,muito
Victor or victor,Victor ou Victor
voice,voz
wait,espere
waiting,esperando
wake,acordar
walk,andar
wanna,quero
want,querer
wanted,desejado
wants,quer
war,guerra
was,era
wasn't,Não
watch,assistir
watching,assistindo
water,água
way,caminho
we,nós
we'd,qua
we'll,bem
we're,eram
we've,nós temos
wear,vestir
wearing,vestindo
wedding,casamento
week,semana
weeks,semanas
weird,esquisito
welcome,Bem-vindo
well,bem
went,foi
were,eram
weren't,Não era
what,o que
what's,o que é
whatever,qualquer que seja
when,quando
where,onde
where's,Onde está a
whether,se
which,qual
while,enquanto
white or White,branco ou branco
who,Quem
who's,quem é
whoa,Uau
whole,todo
why,por que
wife,esposa
will,vai
win,ganhar
wish,desejar
with,com
without,sem
woman,mulher
women,mulheres
won't,não vai
wonder,maravilha
wonderful,maravilhoso
wondering,imaginando
word,palavra
words,palavras
work,trabalhar
worked,trabalhado
working,trabalhando
works,funciona
world,mundo
worried,preocupado
worry,preocupar
worse,pior
worst,pior
worth,valor
would,seria
would've,teria
wouldn't,não
wow,uau
write,escrever
wrong,errado
y'know,você sabe
ya,ya
yeah,sim
year,ano
years,anos
yes,sim
yet,ainda
York,Iorque
you,você
you'd,você
you'll,você vai
you're,você é
you've,você
young,jovem
your,seu
yours,seu
yourself,você mesmo